ExportDate	StudioVersionRec	StudioProjectName	StudioTestName	ParticipantName	RecordingName	RecordingDate	RecordingDuration	RecordingResolution	PresentationSequence	FixationFilter	MediaName	MediaPosX (ADCSpx)	MediaPosY (ADCSpx)	MediaWidth	MediaHeight	SegmentName	SegmentStart	SegmentEnd	SegmentDuration	SceneName	SceneSegmentStart	SceneSegmentEnd	SceneSegmentDuration	RecordingTimestamp	LocalTimeStamp	EyeTrackerTimestamp	MouseEventIndex	MouseEvent	MouseEventX (ADCSpx)	MouseEventY (ADCSpx)	MouseEventX (MCSpx)	MouseEventY (MCSpx)	KeyPressEventIndex	KeyPressEvent	StudioEventIndex	StudioEvent	StudioEventData	ExternalEventIndex	ExternalEvent	ExternalEventValue	EventMarkerValue	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	SaccadicAmplitude	AbsoluteSaccadicDirection	RelativeSaccadicDirection	GazePointIndex	GazePointLeftX (ADCSpx)	GazePointLeftY (ADCSpx)	GazePointRightX (ADCSpx)	GazePointRightY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	GazePointX (MCSpx)	GazePointY (MCSpx)	GazePointLeftX (ADCSmm)	GazePointLeftY (ADCSmm)	GazePointRightX (ADCSmm)	GazePointRightY (ADCSmm)	StrictAverageGazePointX (ADCSmm)	StrictAverageGazePointY (ADCSmm)	EyePosLeftX (ADCSmm)	EyePosLeftY (ADCSmm)	EyePosLeftZ (ADCSmm)	EyePosRightX (ADCSmm)	EyePosRightY (ADCSmm)	EyePosRightZ (ADCSmm)	CamLeftX	CamLeftY	CamRightX	CamRightY	DistanceLeft	DistanceRight	PupilLeft	PupilRight	ValidityLeft	ValidityRight	IRMarkerCount	IRMarkerID	PupilGlassesRight	
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														197	13:48:06.726	123402442																		Unclassified	25						24	855	439	884	450	869	444			228.37	209.53	236.24	205.85	232.31	207.69	210.65	52.70	555.43	276.22	48.09	552.80					556.84	556.84	-1.00	-1.00	0	0				
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														205	13:48:06.735	123410777																		Unclassified	25						25	852	438	873	462	862	450			227.66	209.99	233.39	202.03	230.52	206.01	210.56	52.68	555.41	276.15	48.05	552.79					556.82	556.82	-1.00	-1.00	0	0				
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														214	13:48:06.743	123419112																	2	Saccade	8						26	853	444	877	475	865	459			227.99	207.96	234.34	197.79	231.17	202.87	210.59	52.70	555.33	276.18	48.04	552.82					556.75	556.75	3.52	3.52	0	0				
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														222	13:48:06.751	123427441																2		Fixation	83			4.42	130.33		27	857	495	875	471	866	483			229.03	191.30	233.80	199.21	231.41	195.26	210.65	52.59	555.12	276.20	47.99	552.71					556.52	556.52	-1.00	-1.00	0	0				
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														230	13:48:06.760	123435779																2		Fixation	83			4.42	130.33		28	867	474	882	463	874	468			231.77	198.17	235.68	201.72	233.73	199.94	210.58	52.53	554.95	276.14	47.95	552.70					556.35	556.35	-1.00	-1.00	0	0				
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														239	13:48:06.768	123444106																2		Fixation	83			4.42	130.33		29	853	499	882	456	867	477			227.96	190.08	235.78	203.85	231.87	196.97	210.63	52.54	554.79	276.16	47.93	552.70					556.19	556.19	3.42	3.40	0	0				
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														247	13:48:06.776	123452432																2		Fixation	83			4.42	130.33		30	870	499	882	453	876	476			232.59	190.05	235.60	205.12	234.10	197.58	210.69	52.46	554.51	276.20	47.93	552.56					555.90	555.90	-1.00	-1.00	0	0				
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														255	13:48:06.785	123460769																2		Fixation	83			4.42	130.33		31	870	499	882	453	876	476			232.60	190.05	235.59	205.11	234.09	197.58	210.63	52.46	554.28	276.15	47.93	552.52					555.67	555.67	-1.00	-1.00	0	0				
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														264	13:48:06.793	123469107																2		Fixation	83			4.42	130.33		32	878	501	882	450	880	475			234.62	189.14	235.56	205.82	235.09	197.48	210.70	52.48	554.07	276.19	47.98	552.48					555.47	555.47	3.47	3.38	0	0				
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														272	13:48:06.801	123477429																2		Fixation	83			4.42	130.33		33	878	497	870	464	874	480			234.72	190.62	232.59	201.52	233.66	196.07	210.76	52.46	553.75	276.21	47.98	552.34					555.14	555.14	-1.00	-1.00	0	0				
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														280	13:48:06.810	123485772																2		Fixation	83			4.42	130.33		34	878	497	867	471	872	484			234.72	190.62	231.56	198.96	233.14	194.79	210.71	52.47	553.51	276.15	47.98	552.30					554.90	554.90	-1.00	-1.00	0	0				
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														289	13:48:06.818	123494107																2		Fixation	83			4.42	130.33		35	873	495	864	469	868	482			233.26	191.40	231.00	199.87	232.13	195.63	210.75	52.45	553.32	276.19	48.01	552.27					554.71	554.71	3.31	3.24	0	0				
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														297	13:48:06.826	123502426																2		Fixation	83			4.42	130.33		36	862	470	870	477	866	473			230.44	199.35	232.58	196.98	231.51	198.17	210.91	52.33	553.06	276.26	47.89	552.15					554.43	554.43	-1.00	-1.00	0	0				
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														305	13:48:06.835	123510770																	3	Saccade	50						37	874	477	876	465	875	471			233.56	197.12	234.07	201.08	233.82	199.10	211.06	52.23	552.93	276.42	47.79	552.13					554.28	554.28	-1.00	-1.00	0	0				
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														314	13:48:06.843	123519083																	3	Saccade	50						38	906	486	911	480	908	483			242.04	194.03	243.34	196.06	242.69	195.04	211.19	52.17	552.88	276.54	47.74	552.14					554.21	554.21	3.17	3.21	0	0				
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														322	13:48:06.851	123527424																	3	Saccade	50						39	976	531	982	530	979	530			260.78	179.47	262.33	179.73	261.55	179.60	211.24	52.09	552.74	276.57	47.65	552.06					554.05	554.05	-1.00	-1.00	0	0				
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														330	13:48:06.860	123535768																	3	Saccade	50						40	979	528	982	530	980	529			261.71	180.61	262.47	179.69	262.09	180.15	211.21	52.06	552.70	276.52	47.61	552.09					554.02	554.02	-1.00	-1.00	0	0				
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														339	13:48:06.868	123544103																	3	Saccade	50						41	979	538	967	554	973	546			261.70	177.33	258.29	172.02	260.00	174.68	211.26	52.06	552.72	276.61	47.63	552.15					554.04	554.04	3.15	3.17	0	0				
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														347	13:48:06.876	123552422																	3	Saccade	50						42	959	534	952	546	955	540			256.32	178.37	254.46	174.42	255.39	176.40	211.33	52.03	552.65	276.64	47.60	552.11					553.96	553.96	-1.00	-1.00	0	0				
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														355	13:48:06.885	123560759																3		Fixation	100			2.70	330.32	199.99	43	957	530	968	528	962	529			255.63	179.65	258.76	180.44	257.20	180.05	211.30	52.06	552.66	276.61	47.60	552.16					553.97	553.97	-1.00	-1.00	0	0				
